height,shoe.size,hair.length,hair.color,gender
168,9.5,20,brown,female
162,9,22,brown,female
162,7,1,blonde,female
167,7.5,4,brown,female
168,9,20,black,female
163,9,38,brown,female
165,7.5,20,Black,female
170,8.5,20,Brown,female
178,10,25,blond,female
170,10,20,brown,female
170,8,20,black,female
179,8,30,blonde,female
162,6.5,15,black,female
165,7.5,30,black,female
160,6,30,black,female
159,6,20,brown,female
172,7.5,30,brown,female
160,6,20,red,female
167,6,35,brown,female
172,9,15,brown,female
160,8,20,brown,female
153,5.5,15,black,female
170,8.5,15,black,female
160,8,20,brown,female
160,7.5,21,brown,female
163,7,30,black,female
164,7,30,black,female
162.5,8,40,brown,female
165,9,25,black,female
160,3,50,black,female
160,6.5,30,black,female
170,7.5,15,black,female
167,8,35,black,female
170,8,30,brown,female
160,7,30,brown,female
174,8.5,100,brown,female
163,8.5,30,brown,female
156,6,111,black,female
157,7.5,70,brown,female
182,10,2.5,brown,male
195,13,7,auburn ,male
179,10.5,5,light brown,male
193,12,2,brown,male
189,12.5,1,brown,male
170,8.5,3,black,male
180,10,15,black,male
175,8.5,5,black,male
188,12,25,brown,male
180,9.5,2.5,brown,male
160,7,1,black,male
185,10.5,5,red,male
163,7,4,black,male
182,10.5,10,brown,male
166,8,4,brown,male
185,10.5,0.5,black,male
165,9.5,5,brown,male
175,7.5,5,black,male
178,10.5,4,brown,male
175,9.5,4,black,male
185,9.5,5,black,male
175,10,10,black,male
173,9.5,2,black,male
175,8.5,5,brown,male
180,12,3,Black,male
191,12,10,brown,male
184,11,5,brown,male
175,8,5,brown,male
